title,year,genre,users_rating,votes,languages,directors,runtime
Terowongan Rumah Sakit,2009,Horror,5.5,6,Indonesian,Helfi C.H. Kardit,90 min
The Ghost of Mortuary,2009,Horror,5.1,38,Indonesian,Nayato Fio Nuala,85 min
The Maling Kuburans,2009,Comedy,6.6,9,Indonesian,Dwi Ilalang,90 min
The Police,2009,Action,6,16,Indonesian,A. Leung Wong,90 min
The Real Pocong,2009,Horror,5.3,24,Indonesian,Hanny Saputra,
The Tarix Jabrix 2,2009,Comedy,5.8,43,Indonesian,Iqbal Rais,
Virgin 2: Bukan Film Porno,2009,Drama,5.5,58,Indonesian,Nayato Fio Nuala,
Wakil Rakyat,2009,Comedy,5.5,20,Indonesian,Monty Tiwa,
XXL: Double Extra Large,2009,Comedy,4.5,24,Indonesian,Ivander Tedjasukmana,90 min
3 Doa 3 Cinta,2008,Drama,6.7,76,Indonesian,Nurman Hakim,114 min
40 Hari Bangkitnya Pocong,2008,Horror,4.8,42,Indonesian,Rudy Soedjarwo,90 min
"Ada Kamu, Aku Ada",2008,Drama,5.2,26,Indonesian,Rizal Mantovani,
Anda Puas Saya Loyo,2008,Comedy,2.8,6,Indonesian,K.K. Dheeraj,82 min
Asoy Geboy,2008,Comedy,2.2,6,Indonesian,Arie Azis,
Babi Buta yang Ingin Terbang,2008,Drama,6.1,215,Indonesian,Edwin,77 min
Barbi3,2008,,3.4,17,Indonesian,Monty Tiwa,
Basahhh...,2008,Comedy,6.7,23,Indonesian,M. Haikal,89 min
Best Friend?,2008,,6.9,15,Indonesian,Fajar Bustomi,
Chika,2008,Drama,7.3,23,Indonesian,Rocky Soraya,
Cinlok,2008,Comedy,4.5,20,Indonesian,Guntur Soeharjanto,90 min
Cinta Setaman,2008,Drama,6,17,Indonesian,Harry Suharyadi,
Claudia/Jasmine,2008,Comedy,7.5,55,Indonesian,Awi Suryadi,
Coblos Cinta,2008,Comedy,2.7,7,Indonesian,Findo Purwono,90 min
D.O. (Drop Out),2008,Comedy,4.8,45,Indonesian,Winaldha E. Melalatoa,
Di Bawah Pohon,2008,Drama,6.7,49,Indonesian,Garin Nugroho,104 min
Doa yang Mengancam,2008,Drama,6.1,37,Indonesian,Hanung Bramantyo,90 min
Drupadi,2008,Drama,5.8,40,Indonesian,Riri Riza,45 min
Fiksi.,2008,Thriller,7.5,296,Indonesian,Mouly Surya,90 min
From Bandung with Love,2008,Drama,6.6,29,Indonesian,Henry Adianto,80 min
